,Neighborhood,Price,Number of Beds,Number of Baths
1156,"Columbus, South End, Boston","$5,000",1 Bed,1 Bath
1157,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
1158,"Oak Square, Brighton, Boston","$3,500",4 Bed,2 Bath
1159,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1160,"Mid-Cambridge, Cambridge","$3,975",3 Bed,2 Bath
1161,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,370",1 Bed,1 Bath
1162,"Downtown Boston, Boston","$3,860",1 Bed,1 Bath
1163,"Downtown Boston, Boston","$4,530",2 Bed,2 Bath
1164,"Beacon Hill, Boston","$3,700",3 Bed,1 Bath
1165,"Central Maverick Square - Paris Street, East Boston, Boston","$1,950",2 Bed,1 Bath
1166,"East Cambridge, Cambridge","$4,398",2 Bed,2 Bath
1167,"Harrison Lenox, South End, Boston","$2,750",1 Bed,1 Bath
1168,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
1169,"St. Elizabeth's, Brighton, Boston","$5,000",6 Bed,3 Bath
1170,"St. Elizabeth's, Brighton, Boston","$4,000",4 Bed,2 Bath
1171,"Oak Square, Brighton, Boston","$4,100",4 Bed,3 Bath
1172,"Commonwealth, Brighton, Boston","$1,725",1 Bed,1 Bath
1173,"St. Elizabeth's, Brighton, Boston","$4,000",4 Bed,2 Bath
1174,"Allston, Boston","$4,800",6 Bed,2 Bath
1175,"Commonwealth, Brighton, Boston","$4,200",5 Bed,3 Bath
1176,"St. Elizabeth's, Brighton, Boston","$2,500",2 Bed,1 Bath
1177,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
1178,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1179,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,500",2 Bed,2 Bath
1180,"Oak Square, Brighton, Newton","$2,700",3 Bed,1 Bath
1181,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,370",1 Bed,1 Bath
1182,"Downtown Boston, Boston","$3,860",1 Bed,1 Bath
1183,"Downtown Boston, Boston","$4,530",2 Bed,2 Bath
1184,"Beacon Hill, Boston","$3,700",3 Bed,1 Bath
1185,"Central Maverick Square - Paris Street, East Boston, Boston","$1,950",2 Bed,1 Bath
1186,"East Cambridge, Cambridge","$4,398",2 Bed,2 Bath
1187,"Commonwealth, Brighton, Boston","$2,095",2 Bed,1 Bath
1188,"St. Elizabeth's, Brighton, Boston","$5,400",7 Bed,3 Bath
1189,"St. Elizabeth's, Brighton, Boston","$1,850",1 Bed,1 Bath
1190,"Oak Square, Brighton, Boston","$3,000",4 Bed,2 Bath
1191,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,2 Bath
1192,"Lower Roxbury, Roxbury, Boston","$3,750",3 Bed,2 Bath
1193,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",2 Bed,1 Bath
1194,"Columbus, South End, Boston","$4,900",1 Bed,1 Bath
1195,"Huron Village, West Cambridge, Cambridge","$3,400",3 Bed,1 Bath
1196,"Commonwealth, Brighton, Boston","$3,300",3 Bed,1 Bath
1197,"North Allston, Allston, Boston","$2,750",3 Bed,1 Bath
1198,"Coolidge Corner, Boston","$2,250",2 Bed,1 Bath
1199,"Ward Two, Somerville","$3,600",4 Bed,1 Bath
1200,"Downtown Boston, Boston","$4,530",2 Bed,2 Bath
1201,"Allston, Boston","$1,850",1 Bed,1 Bath
1202,"Beacon Hill, Boston","$3,700",3 Bed,1 Bath
1203,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
1204,"Central Maverick Square - Paris Street, East Boston, Boston","$1,950",2 Bed,1 Bath
1205,"East Cambridge, Cambridge","$4,398",2 Bed,2 Bath
1206,"Allston, Boston","$2,700",3 Bed,1 Bath
1207,"Ward Two, Somerville","$2,995",3 Bed,1 Bath
1208,"Hyde Square, Jamaica Plain, Boston","$3,200",3 Bed,1 Bath
1209,"North Allston, Allston, Boston","$2,775",3 Bed,1 Bath
1210,"Central Square, East Boston, Boston","$2,580",1 Bed,1 Bath
1211,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,400",3 Bed,1 Bath
1212,"Coolidge Corner, Brookline","$3,800",3 Bed,1 Bath
1213,"Oak Square, Brighton, Boston","$3,500",4 Bed,2 Bath
1214,"St. Elizabeth's, Brighton, Boston","$1,775",1 Bed,1 Bath
1215,"Oak Square, Brighton, Boston","$3,100",3 Bed,2 Bath
1216,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,855",1 Bed,1 Bath
1217,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,295",2 Bed,1 Bath
1218,"Neighborhood Nine, Cambridge","$3,195",1 Bed,1 Bath
1219,"Back Bay East, Back Bay, Boston","$4,500",2 Bed,1 Bath
1220,"Watertown West End, Watertown","$3,500",4 Bed,2 Bath
1221,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",2 Bed,1 Bath
1222,"Lower Roxbury, Roxbury, Boston","$3,400",3 Bed,1 Bath
1223,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1224,"Back Bay East, Back Bay, Boston","$3,375",1 Bed,1 Bath
1225,"Oak Square, Brighton, Boston","$4,000",4 Bed,2 Bath
1226,"Mission Hill, Boston","$4,300",3 Bed,2 Bath
1227,"Eagle Hill, East Boston, Boston","$3,800",4 Bed,1 Bath
1228,"Oak Square, Brighton, Boston","$5,000",5 Bed,4 Bath
1229,"North Allston, Allston, Boston","$2,700",3 Bed,1 Bath
1230,"Neighborhood Nine, Cambridge","$2,955",2 Bed,2 Bath
1231,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
1232,"Oak Square, Brighton, Boston","$5,000",5 Bed,2.5 Bath
1233,"St. Elizabeth's, Brighton, Boston","$3,000",3 Bed,1 Bath
1234,"North End, Boston","$2,850",2 Bed,1 Bath
1235,"St. Elizabeth's, Brighton, Boston","$6,600",6 Bed,3 Bath
1236,"Commonwealth, Brighton, Boston","$2,225",2 Bed,1 Bath
1237,"North Cambridge, Cambridge","$3,175",2 Bed,2 Bath
1238,"Commonwealth, Brighton, Boston","$2,895",3 Bed,1 Bath
1239,"Hyde Square, Jamaica Plain, Boston","$3,300",3 Bed,2 Bath
1240,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,175",2 Bed,1 Bath
1241,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1242,"Downtown Boston, Boston","$3,895",2 Bed,2 Bath
1243,"Downtown Boston, Boston","$6,475",2 Bed,2 Bath
1244,"Allston, Boston","$3,500",4 Bed,2 Bath
1245,"Allston, Boston","$2,450",1 Bed,1 Bath
1246,"Mission Hill, Boston","$3,350",3 Bed,1 Bath
1247,"Central Maverick Square - Paris Street, East Boston, Boston","$3,800",4 Bed,2 Bath
1248,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,500",1 Bed,1 Bath
1249,"Allston, Boston","$2,450",2 Bed,1 Bath
1250,"Egleston Square, Jamaica Plain, Boston","$3,400",4 Bed,1 Bath
1251,"East Cambridge, Cambridge","$3,400",2 Bed,2 Bath
1252,"Cambridgeport, Cambridge","$3,450",2 Bed,2 Bath
1253,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
1254,"Allston, Boston","$3,020",3 Bed,2 Bath
1255,"North Allston, Allston, Boston","$2,800",3 Bed,1 Bath
1256,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,750",2 Bed,1 Bath
1257,"Oak Square, Brighton, Boston","$3,100",4 Bed,2 Bath
1258,"Columbus, South End, Boston","$3,250",1 Bed,1 Bath
1259,"Coolidge Corner, Brookline","$4,400",3 Bed,1.5 Bath
1260,"Allston, Boston","$4,700",5 Bed,2 Bath
1261,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1262,"Downtown Boston, Boston","$3,895",2 Bed,2 Bath
1263,"Downtown Boston, Boston","$6,475",2 Bed,2 Bath
1264,"Allston, Boston","$3,500",4 Bed,2 Bath
1265,"Neighborhood Nine, Cambridge","$3,300",3 Bed,2 Bath
1266,"Back Bay East, Back Bay, Boston","$5,100",2 Bed,2 Bath
1267,"Oak Square, Brighton, Boston","$2,995",3 Bed,1 Bath
1268,"Coolidge Corner, Brookline","$5,200",4 Bed,3 Bath
1269,"Thompson Square - Bunker Hill, Charlestown, Boston","$3,000",2 Bed,2 Bath
1270,"North Allston, Allston, Boston","$4,600",4 Bed,2 Bath
1271,"Highland Park, Roxbury, Boston","$5,600",4 Bed,1 Bath
1272,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
1273,"Mission Hill, Boston","$5,199",4 Bed,1 Bath
1274,"Hyde Square, Jamaica Plain, Boston","$3,750",3 Bed,2 Bath
1275,"North Allston, Allston, Boston","$2,800",3 Bed,1 Bath
1276,"Mid-Cambridge, Cambridge","$1,950",1 Bed,1 Bath
1277,"Jeffries Point - Airport, East Boston, Boston","$5,680",3 Bed,2 Bath
1278,"Maplewood Highlands, Maplewood, Malden","$2,500",3 Bed,1 Bath
1279,"Highland Park, Roxbury, Boston","$3,100",3 Bed,1.5 Bath
1280,"North Allston, Allston, Boston","$2,700",3 Bed,1.5 Bath
1281,"Downtown Boston, Boston","$2,774",Studio,1 Bath
1282,"Downtown Boston, Boston","$3,895",2 Bed,2 Bath
1283,"Downtown Boston, Boston","$6,475",2 Bed,2 Bath
1284,"Allston, Boston","$3,500",4 Bed,2 Bath
1285,"Washington Square, Brookline","$3,100",2 Bed,1 Bath
1286,"Downtown Boston, Boston","$2,405",Studio,1 Bath
1287,"Coolidge Corner, Brookline","$4,500",5 Bed,2 Bath
1288,"Lower Roxbury, Roxbury, Boston","$4,100",3 Bed,1 Bath
1289,"Coolidge Corner, Brookline","$3,015",2 Bed,1 Bath
1290,"North Allston, Allston, Boston","$8,000",7 Bed,4 Bath
1291,"North Allston, Allston, Boston","$4,630",6 Bed,1 Bath
1292,"Oak Square, Brighton, Boston","$2,850",3 Bed,1.5 Bath
1293,"Mission Hill, Boston","$4,000",5 Bed,1 Bath
1294,"Downtown Watertown, Watertown","$1,750",1 Bed,1 Bath
1295,"Downtown Boston, Boston","$3,750",1 Bed,1 Bath
1296,"Beacon Hill, Boston","$3,700",3 Bed,1 Bath
1297,"Mission Hill, Boston","$4,200",4 Bed,1 Bath
1298,"Oak Square, Brighton, Boston","$2,750",3 Bed,1 Bath
1299,"Ten Hills, Somerville","$4,000",4 Bed,3 Bath
1300,"Lower Roxbury, Roxbury, Boston","$3,500",3 Bed,1 Bath
1301,"Washington Square, Brookline","$3,100",2 Bed,1 Bath
1302,"Central Maverick Square - Paris Street, East Boston, Boston","$3,750",4 Bed,2 Bath
1303,"Downtown Boston, Boston","$4,720",2 Bed,2 Bath
1304,"Downtown Boston, Boston","$2,405",Studio,1 Bath
1305,"Downtown Boston, Boston","$4,076",1 Bed,1 Bath
1306,"Allston, Boston","$1,850",1 Bed,1 Bath
1307,"Allston, Boston","$3,600",4 Bed,2 Bath
1308,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
1309,"Oak Square, Brighton, Boston","$3,240",4 Bed,2 Bath
1310,"Coolidge Corner, Brookline","$4,500",4 Bed,1 Bath
1311,"Hyde Square, Jamaica Plain, Boston","$4,000",4 Bed,2 Bath
1312,"Commonwealth, Brighton, Boston","$2,295",2 Bed,1 Bath
1313,"Mission Hill, Boston","$2,675",2 Bed,1 Bath
1314,"Downtown Melrose, Melrose","$1,395",1 Bed,1 Bath
1315,"Commonwealth, Brighton, Boston","$2,550",2 Bed,1 Bath
1316,"Marina Bay, Quincy","$2,400",2 Bed,2 Bath
1317,"Jeffries Point - Airport, East Boston, Boston","$1,950",2 Bed,1 Bath
1318,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,000",3 Bed,2 Bath
1319,"Allston, Boston","$3,800",4 Bed,2 Bath
1320,"Washington Square, Brookline","$4,800",4 Bed,2 Bath
1321,"Washington Square, Brookline","$3,100",2 Bed,1 Bath
1322,"Central Maverick Square - Paris Street, East Boston, Boston","$3,750",4 Bed,2 Bath
1323,"Downtown Boston, Boston","$4,720",2 Bed,2 Bath
1324,"Downtown Boston, Boston","$2,405",Studio,1 Bath
1325,"Downtown Boston, Boston","$4,076",1 Bed,1 Bath
1326,"Bellrock, Malden","$2,600",3 Bed,2 Bath
1327,"Mission Hill, Boston","$3,900",4 Bed,1 Bath
1328,"Allston, Boston","$10,900",9 Bed,3 Bath
1329,"West Newton, Waltham","$2,200",1 Bed,1 Bath
1330,"Watertown West End, Watertown","$3,500",4 Bed,2 Bath
1331,"Harrison Lenox, South End, Boston","$3,500",2 Bed,1.5 Bath
1332,"Jeffries Point - Airport, East Boston, Boston","$3,600",4 Bed,2 Bath
1333,"Mission Hill, Boston","$4,800",4 Bed,2 Bath
1334,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
1335,"Winter Hill, Somerville","$4,500",5 Bed,3 Bath
1336,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,038",2 Bed,2 Bath
1337,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,004",3 Bed,2.5 Bath
1338,"Allston, Boston","$4,800",6 Bed,2 Bath
1339,"Allston, Boston","$4,800",5 Bed,2 Bath
1340,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,150",3 Bed,1 Bath
1341,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,250",2 Bed,1 Bath
1342,"Shawmut, South End, Boston","$3,200",2 Bed,1 Bath
1343,"Bellrock, Malden","$2,600",3 Bed,2 Bath
1344,"Egleston Square, Jamaica Plain, Boston","$3,100",3 Bed,1 Bath
1345,"Mission Hill, Boston","$2,545",2 Bed,1 Bath
1346,"Mission Hill, Boston","$3,345",3 Bed,1 Bath
1347,"Lower Roxbury, Roxbury, Boston","$3,399",2 Bed,1 Bath
1348,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,100",2 Bed,1 Bath
1349,"Jeffries Point - Airport, East Boston, Boston","$3,195",3 Bed,1 Bath
1350,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
1351,"North Allston, Allston, Boston","$2,195",2 Bed,1 Bath
1352,"Commonwealth, Brighton, Boston","$2,150",2 Bed,1 Bath
1353,"Allston, Boston","$2,650",3 Bed,1 Bath
1354,"Allston, Boston","$5,400",6 Bed,3 Bath
1355,"Coolidge Corner, Brookline","$3,750",3 Bed,1 Bath
1356,"Ten Hills, Somerville","$2,750",2 Bed,2 Bath
1357,"Mission Hill, Boston","$2,557",1 Bed,1 Bath
1358,"Magoun Square, Somerville","$2,550",2 Bed,2 Bath
1359,"Oak Square, Brighton, Boston","$4,800",5 Bed,2.5 Bath
1360,"Bellrock, Malden","$2,600",3 Bed,2 Bath
1361,"Oak Square, Brighton, Boston","$4,295",5 Bed,1.5 Bath
1362,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
1363,"Mission Hill, Boston","$4,200",4 Bed,2 Bath
1364,"Egleston Square, Jamaica Plain, Boston","$3,100",3 Bed,1 Bath
1365,"Mission Hill, Boston","$2,545",2 Bed,1 Bath
1366,"Mission Hill, Boston","$3,345",3 Bed,1 Bath
1367,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,000",1 Bed,1 Bath
1368,"Prospect Hill, Somerville","$3,675",3 Bed,1 Bath
1369,"Allston, Boston","$6,000",7 Bed,3 Bath
1370,"Commonwealth, Brighton, Boston","$5,200",6 Bed,3 Bath
1371,"Central Maverick Square - Paris Street, East Boston, Boston","$2,950",3 Bed,1 Bath
1372,"Mission Hill, Boston","$5,500",5 Bed,2 Bath
1373,"Beacon Hill, Boston","$3,395",2 Bed,1 Bath
1374,"Oak Square, Brighton, Boston","$5,250",6 Bed,2 Bath
1375,"Newton Center, Newton","$2,700",2 Bed,2 Bath
1376,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
1377,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,500",2 Bed,1 Bath
1378,"Allston, Boston","$4,800",4 Bed,2 Bath
1379,"Allston, Boston","$1,900",1 Bed,1 Bath
1380,"St. Elizabeth's, Brighton, Boston","$1,900",1 Bed,1 Bath
1381,"Egleston Square, Jamaica Plain, Boston","$3,100",3 Bed,1 Bath
1382,"Mission Hill, Boston","$2,545",2 Bed,1 Bath
1383,"Mission Hill, Boston","$3,345",3 Bed,1 Bath
1384,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,900",3 Bed,1 Bath
1385,"Cambridgeport, Cambridge","$2,942",1 Bed,1 Bath
1386,"Area IV, Cambridge","$3,300",3 Bed,1.5 Bath
1387,"Columbia Point, Dorchester, Boston","$3,200",4 Bed,1.5 Bath
1388,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
1389,"Commonwealth, Brighton, Boston","$1,925",2 Bed,1 Bath
1390,"North Allston, Allston, Boston","$4,400",7 Bed,2.5 Bath
1391,"Mission Hill, Boston","$4,425",5 Bed,2 Bath
1392,"Lower Roxbury, Roxbury, Boston","$5,400",4 Bed,1 Bath
1393,"Oak Square, Brighton, Boston","$3,300",4 Bed,1.5 Bath
1394,"Commonwealth, Brighton, Boston","$3,000",3 Bed,1 Bath
1395,"Mission Hill, Boston","$2,445",2 Bed,1 Bath
1396,"Egleston Square, Jamaica Plain, Boston","$3,250",4 Bed,1 Bath
1397,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
1398,"Watertown West End, Watertown","$3,195",3 Bed,2 Bath
1399,"East Somerville, Somerville","$3,300",3 Bed,2 Bath
1400,"Chinatown - Leather District, Boston","$4,194",2 Bed,2 Bath
1401,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1402,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1403,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1404,"North End, Boston","$3,095",1 Bed,1 Bath
1405,"Jeffries Point - Airport, East Boston, Boston","$3,300",3 Bed,2 Bath
1406,"Oak Grove, Malden","$2,900",4 Bed,2 Bath
1407,"St. Elizabeth's, Brighton, Boston","$2,600",3 Bed,1 Bath
1408,"Winter Hill, Somerville","$4,650",4 Bed,2 Bath
1409,"Allston, Boston","$4,800",6 Bed,2 Bath
1410,"Eagle Hill, East Boston, Boston","$2,975",3 Bed,1 Bath
1411,"Coolidge Corner, Brookline","$4,920",4 Bed,2 Bath
1412,"North Allston, Allston, Boston","$2,125",2 Bed,1 Bath
1413,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300",3 Bed,1 Bath
1414,"Neighborhood Nine, Cambridge","$3,500",3 Bed,2.5 Bath
1415,"Allston, Boston","$2,150",2 Bed,1 Bath
1416,"Allston, Boston","$3,895",4 Bed,2 Bath
1417,"Brookline Village, Brookline","$2,595",2 Bed,1 Bath
1418,"Oak Square, Brighton, Boston","$3,000",3 Bed,1 Bath
1419,"Harrison Lenox, South End, Boston","$3,200",2 Bed,1 Bath
1420,"Waterfront, North End, Boston","$2,800",2 Bed,2 Bath
1421,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1422,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1423,"North Cambridge, Cambridge","$3,900",2 Bed,2 Bath
1424,"North End, Boston","$3,095",1 Bed,1 Bath
1425,"Downtown Boston, Boston","$3,455",1 Bed,1 Bath
1426,"Oak Square, Brighton, Boston","$3,200",4 Bed,1 Bath
1427,"Allston, Boston","$3,795",4 Bed,2 Bath
1428,"Coolidge Corner, Brookline","$2,600",2 Bed,1 Bath
1429,"St. Elizabeth's, Brighton, Boston","$1,875",1 Bed,1 Bath
1430,"Oak Square, Brighton, Newton","$3,000",3 Bed,2 Bath
1431,"Lower Roxbury, Roxbury, Boston","$3,600",2 Bed,1 Bath
1432,"Mission Hill, Boston","$3,600",4 Bed,1 Bath
1433,"Washington Square, Brookline","$2,500",1 Bed,1 Bath
1434,"Hyde Square, Jamaica Plain, Boston","$3,150",4 Bed,1 Bath
1435,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,600",1 Bed,1 Bath
1436,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,075",1 Bed,1 Bath
1437,"Oak Square, Brighton, Boston","$3,600",4 Bed,2 Bath
1438,"Spring Hill, Somerville","$2,450",2 Bed,1 Bath
1439,"Allston, Boston","$8,400",7 Bed,2 Bath
1440,"Mission Hill, Boston","$2,600",3 Bed,1 Bath
1441,"Downtown Boston, Boston","$3,455",1 Bed,1 Bath
1442,"Downtown Boston, Boston","$3,600",1 Bed,1 Bath
1443,"West End, Boston","$3,325",2 Bed,2 Bath
1444,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,1 Bath
1445,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,950",3 Bed,1.5 Bath
1446,"Mission Hill, Boston","$4,200",3 Bed,2 Bath
1447,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
1448,"Shawmut, South End, Boston","$3,400",2 Bed,1 Bath
1449,"Oak Square, Brighton, Boston","$2,800",3 Bed,1 Bath
1450,"Allston, Boston","$4,200",4 Bed,2 Bath
1451,"Commonwealth, Brighton, Boston","$2,650",3 Bed,1 Bath
1452,"Commonwealth, Brighton, Boston","$6,500",5 Bed,2.5 Bath
1453,"Oak Square, Brighton, Boston","$3,250",3 Bed,2 Bath
1454,"Allston, Boston","$5,200",3 Bed,2 Bath
1455,"Mission Hill, Boston","$4,400",4 Bed,2 Bath
1456,"Coolidge Corner, Brookline","$2,975",2 Bed,2 Bath
1457,"Downtown Boston, Boston","$4,100",2 Bed,2 Bath
1458,"Allston, Boston","$4,400",5 Bed,3 Bath
1459,"Newton Upper Falls, Newton","$2,800",2 Bed,2.5 Bath
1460,"St. Elizabeth's, Brighton, Boston","$2,350",2 Bed,1 Bath
1461,"Downtown Boston, Boston","$3,455",1 Bed,1 Bath
1462,"Downtown Boston, Boston","$3,600",1 Bed,1 Bath
1463,"West End, Boston","$3,325",2 Bed,2 Bath
1464,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,1 Bath
1465,"Coolidge Corner, Boston","$1,725",1 Bed,1 Bath
1466,"Commonwealth, Brighton, Boston","$3,300",3 Bed,1 Bath
1467,"Oak Square, Brighton, Boston","$3,700",4 Bed,2 Bath
1468,"Mid-Cambridge, Cambridge","$3,900",3 Bed,1 Bath
1469,"Oak Square, Brighton, Boston","$2,700",3 Bed,2 Bath
1470,"Columbus, South End, Boston","$2,700",1 Bed,1 Bath
1471,"Jamaica Hills - Pond, Jamaica Plain, Boston","$2,675",3 Bed,1 Bath
1472,"Highland Park, Roxbury, Boston","$3,300",3 Bed,1.5 Bath
1473,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
1474,"Coolidge Corner, Brookline","$3,100",2 Bed,1 Bath
1475,"St. Elizabeth's, Brighton, Boston","$2,295",2 Bed,1 Bath
1476,"Mid-Cambridge, Cambridge","$7,450",6 Bed,3 Bath
1477,"Brookline Village, Brookline","$3,100",2 Bed,2 Bath
1478,"Mission Hill, Boston","$3,200",1 Bed,1 Bath
1479,"Central Maverick Square - Paris Street, East Boston, Boston","$3,000",3 Bed,1 Bath
1480,"East Watertown, Watertown","$4,600",4 Bed,3.5 Bath
1481,"West End, Boston","$3,325",2 Bed,2 Bath
1482,"Huron Village, West Cambridge, Cambridge","$2,900",2 Bed,1 Bath
1483,"Lower Roxbury, Roxbury, Boston","$3,600",3 Bed,1 Bath
1484,"Mission Hill, Boston","$5,250",5 Bed,2 Bath
1485,"Allston, Boston","$1,900",1 Bed,1 Bath
1486,"West Somerville, Somerville","$3,500",3 Bed,1 Bath
1487,"Central Maverick Square - Paris Street, East Boston, Boston","$2,500",2 Bed,1 Bath
1488,"Oak Square, Brighton, Boston","$2,850",3 Bed,1 Bath
1489,"Allston, Boston","$3,850",5 Bed,1.5 Bath
1490,"Washington Park, Roxbury, Boston","$3,750",5 Bed,1.5 Bath
1491,"Hyde Square, Jamaica Plain, Boston","$2,800",4 Bed,1 Bath
1492,"Egleston Square, Jamaica Plain, Boston","$3,250",4 Bed,1 Bath
1493,"Coolidge Corner, Brookline","$4,950",4 Bed,2 Bath
1494,"Allston, Boston","$1,895",1 Bed,1 Bath
1495,"Oak Square, Brighton, Boston","$3,600",5 Bed,2 Bath
1496,"Oak Square, Brighton, Boston","$4,500",5 Bed,3 Bath
1497,"Powder House, Somerville","$1,700",1 Bed,1 Bath
1498,"Egleston Square, Jamaica Plain, Boston","$3,475",3 Bed,1 Bath
1499,"Back Bay East, Back Bay, Boston","$3,400",2 Bed,1 Bath
1500,"North End, Boston","$3,100",2 Bed,1 Bath
1501,"Mission Hill, Boston","$1,950",1 Bed,1 Bath
1502,"D Street - West Broadway, South Boston, Boston","$3,000",2 Bed,1.5 Bath
1503,"Neighborhood Nine, Cambridge","$2,900",2 Bed,1 Bath
1504,"Oak Square, Brighton, Boston","$2,600",3 Bed,1 Bath
1505,"Oak Square, Brighton, Boston","$5,500",5 Bed,3.5 Bath
1506,"Beacon Hill, Boston","$3,200",2 Bed,1 Bath
1507,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$4,200",4 Bed,2 Bath
1508,"Coolidge Corner, Brookline","$3,999",4 Bed,2 Bath
1509,"North Allston, Allston, Boston","$3,900",4 Bed,2 Bath
1510,"Prudential - St. Botolph, Back Bay, Boston","$2,000",1 Bed,1 Bath
1511,"West End, Boston","$2,300",1 Bed,1 Bath
1512,"Back Bay East, Back Bay, Boston","$5,100",2 Bed,2 Bath
1513,"Commonwealth, Brighton, Boston","$2,050",2 Bed,1 Bath
1514,"North End, Boston","$3,300",2 Bed,2 Bath
1515,"Allston, Boston","$3,600",4 Bed,2 Bath
1516,"Allston, Boston","$2,350",2 Bed,1 Bath
1517,"Oak Square, Brighton, Boston","$3,000",3 Bed,2 Bath
1518,"Back Bay East, Back Bay, Boston","$2,975",1 Bed,1 Bath
1519,"Allston, Boston","$6,000",6 Bed,3 Bath
1520,"Washington Park, Roxbury, Boston","$2,250",2 Bed,1 Bath
1521,"Lower Roxbury, Roxbury, Boston","$6,250",5 Bed,2 Bath
1522,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1523,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$2,025",2 Bed,1 Bath
1524,"Coolidge Corner, Brookline","$4,700",4 Bed,1 Bath
1525,"Watertown West End, Watertown","$4,650",2 Bed,2 Bath
1526,"Back Bay West, Back Bay, Boston","$4,200",2 Bed,1.5 Bath
1527,"Commonwealth, Brighton, Boston","$2,650",3 Bed,1 Bath
1528,"Downtown Boston, Boston","$6,599",3 Bed,2 Bath
1529,"West Newton, Newton","$4,200",3 Bed,3.5 Bath
1530,"East Watertown, Watertown","$3,000",3 Bed,1 Bath
1531,"Mission Hill, Boston","$4,187",3 Bed,2 Bath
1532,"Oak Square, Brighton, Boston","$7,400",8 Bed,4 Bath
1533,"Downtown Boston, Boston","$2,930",1 Bed,1 Bath
1534,"St. Elizabeth's, Brighton, Boston","$3,450",3 Bed,1 Bath
1535,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,550",3 Bed,2 Bath
1536,"Allston, Boston","$1,850",1 Bed,1 Bath
1537,"St. Marks, Dorchester, Boston","$2,250",2 Bed,1 Bath
